GEOID,Geographic Area Name,Total_Number_Households,Median income_Households,Median income (dollars)_White,Median income_Black or African American,Median income_American Indian and Alaska Native,Median income_Asian,Median income_Native Hawaiian and Other Pacific Islander,Median income_Some other race,Median income_Two or more races,Median income_Hispanic or Latino origin (of any race),"Median income_White alone, not Hispanic or Latino",Total_Workers,Total_Workers_Median age (years),Public transportation_popu,"Public transportation_$1 to $9,999 or loss","Public transportation_$10,000 to $14,999","Public transportation_$15,000 to $24,999","Public transportation_$25,000 to $34,999","Public transportation_$35,000 to $49,999","Public transportation_$50,000 to $64,999","Public transportation_$65,000 to $74,999","Public transportation_$75,000 or more",Public transportation_Median earnings (dollars),Public transportation_ whom poverty status is determined,Public transportation_Below 100 percent of the poverty level,Public transportation_100 to 149 percent of the poverty level,Public transportation_At or above 150 percent of the poverty level,Public transportation_Workers 16 years and over who did not work from home,Public transportation_ DEPARTURE TO WORK_12:00 a.m. to 4:59 a.m.,Public transportation _DEPARTURE TO WORK_5:00 a.m. to 5:29 a.m.,Public transportation _DEPARTURE TO WORK_5:30 a.m. to 5:59 a.m.,Public transportation _DEPARTURE TO WORK_6:00 a.m. to 6:29 a.m.,Public transportation _DEPARTURE TO WORK_6:30 a.m. to 6:59 a.m.,Public transportation _DEPARTURE TO WORK_7:00 a.m. to 7:29 a.m.,Public transportation _DEPARTURE TO WORK_7:30 a.m. to 7:59 a.m.,Public transportation _DEPARTURE TO WORK_8:00 a.m. to 8:29 a.m.,Public transportation _DEPARTURE TO WORK_8:30 a.m. to 8:59 a.m.,Public transportation _DEPARTURE TO WORK_9:00 a.m. to 11:59 p.m.,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)
36047000100,Census Tract 1; Kings County; New York,2579,165188,189792,0,0,125250,0,0,"250,000",0,184000,2731,43.8,1206,2.1,4.7,3.6,1.7,3.2,9.2,1.9,73.6,109592,1197,3.8,0,96.2,1206,0,0,0,4.7,3.1,10.7,12.4,29.9,12.2,26.9,0,0,7.6,10.9,7.9,23.4,25.7,7.5,17,N
36047000200,Census Tract 2; Kings County; New York,353,78942,63417,0,94886,0,0,70268,0,61563,175667,618,40,349,12.6,1.7,30.1,13.5,8.6,14.9,7.2,11.5,31339,349,22.1,0,77.9,349,0,0,2.6,2.3,0,49,10.6,10.9,6.3,18.3,5.4,0,3.4,4.9,6.3,20.3,21.2,14.6,23.8,N
36047000301,Census Tract 3.01; Kings County; New York,1886,193158,189779,0,0,0,0,0,"250,000",216500,188382,2219,38.3,1010,0,6,6.2,3.7,1.8,1.1,1.8,79.4,158073,1010,0,3.4,96.6,1010,0,0,0,5.6,0,10.6,5.6,21.3,22,34.9,0,0,3.4,10.4,5.4,33,21.9,16.8,9.1,N
36047000501,Census Tract 5.01; Kings County; New York,1924,140795,143105,0,0,0,0,0,164063,53482,144032,2271,40.9,742,8.1,5.3,3.1,3.9,1.2,3.1,1.8,73.6,105263,643,0,0,100,742,0,0,0,0,1.3,12,8.1,15.9,24.4,38.3,0,0,13.5,19.5,5,21.6,23.5,7.5,9.4,N
36047000502,Census Tract 5.02; Kings County; New York,1467,169313,172862,0,0,159936,0,0,0,0,172549,1596,39.5,844,3.2,1.2,1.2,4.6,1.4,1.2,3.2,84,111543,835,3.4,0,96.6,844,3.1,0,0,3.8,0,1.3,17.1,12,20.7,42.1,1.2,1.3,10.2,10.7,7.7,22.5,21,19.4,6,N
36047000700,Census Tract 7; Kings County; New York,1865,180515,188681,0,0,154896,0,0,0,0,192188,2402,39.7,1404,2.3,0.1,5,2.5,6.4,9,0.9,73.9,135123,1404,2.4,2.9,94.7,1404,1.7,0.1,0,1.9,2.3,7.1,12.3,30.1,21.4,23.1,0,0,8.7,4.2,4.8,20.8,25.9,24.2,11.3,N
36047000900,Census Tract 9; Kings County; New York,2370,218500,"250,000",0,0,197426,0,0,166637,0,"250,000",3211,35.9,1731,2.5,0,1.3,4.4,6.8,7.6,2.5,75,190402,1713,1.5,0,98.5,1731,0,0,0,0,8.6,15.8,14.4,13.3,15.5,32.2,0,0,13.6,12.7,9,27.6,15.4,13.3,8.4,N
36047001100,Census Tract 11; Kings County; New York,853,166250,208558,0,0,130000,0,0,216071,209135,194375,1155,32.5,659,0,1.7,1.4,0.8,2.6,9.4,5.6,78.6,110125,659,1.7,0.8,97.6,659,0.5,0.9,0,9.1,0,3.3,6.8,28.1,21.1,30.2,0,2.3,11.8,14.6,5.8,34.9,22,7.7,0.9,N
36047001300,Census Tract 13; Kings County; New York,1187,148542,159375,115809,0,166250,0,0,197885,156563,169205,1255,42.5,467,0.2,0.2,3.6,0,1.3,6.9,5.1,82.7,127009,467,0.4,0,99.6,467,0,0.2,0,3.2,8.6,17.1,9.6,26.6,19.3,15.4,0,0,15,11.1,3.6,17.6,22.3,30.2,0.2,N
36047001501,Census Tract 15.01; Kings County; New York,2217,94323,143915,49800,0,0,0,63750,0,60580,162813,2941,32.9,1608,8,0.9,15.3,7.2,14.2,14.6,5.8,33.9,58315,1608,7.2,2.5,90.3,1608,1.4,5,4.1,7.5,0.3,5.5,9.8,27.4,10.4,28.6,1.4,0,1.7,5.2,5.8,24.8,29.1,26.8,5.3,N
