Name,Address,Latitude,Longitude,Zip Code,Rating,Review Count,Price
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.7351713945047,-73.9932620867199,10003,3.9,359,$$
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161231646346,10004,3.4,18,N/A
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.7857679462814,-73.9729782294477,10024,4.0,396,$
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4.0,143,$
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.7720441944042,-73.9608049638701,10021,4.1,261,$
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202015828379,10027,3.8,216,$$
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329170994,10017,4.1,9,N/A
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.9614532131223,10027,5.0,6,N/A
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373330999126,10027,3.9,8,N/A
